Lat,Long,CATEGORIA,NOMBRE,DIRECCION
6.2492,-75.5888,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CARRERA70 # 44-42
6.2492,-75.5888,CAJERO ELECTRONICO Cajero ATH,BANCO GANADERO Carrera 70,Cra. 70 # 44-42
6.24921,-75.5645,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE52 # 45-90
6.24946,-75.5731,BANCOS Y CORPORACIONES,BANCO DE OCCIDENTE,CARRERA55 # 46-77
6.24962,-75.5925,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE44 # 73-48
6.24962,-75.5924,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE44 # 73-38
6.2498,-75.5888,BANCOS Y CORPORACIONES,BANCO COOPDESARROLLO,CARRERA70 # 44A-13
6.2498,-75.5888,Cajero Automático MEGARed,Megabanco La Setenta,Cra 70 # 44 A-13
6.24987,-75.5643,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA46 # 52-130
6.24992,-75.5697,BANCOS Y CORPORACIONES,BANCO AGRARIO DE COLOMBIA,CARRERA52 # 49-66
6.24994,-75.5642,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA46 # 52-140
6.25012,-75.5643,BANCOS Y CORPORACIONES,BANCOLOMBIA,CARRERA46 # 52-103
6.25047,-75.5765,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE48 # 59-09
6.25052,-75.564,BANCOS Y CORPORACIONES,BANCO COOPERATIVO DE COLOMBIA,CARRERA46 # 53-07
6.25056,-75.6047,BANCOS Y CORPORACIONES,BANCO AGRARIO DE COLOMBIA,CALLE44 # 84-11
6.25061,-75.6046,Cajero ATH,AV VILLAS La America,Cll. 44 # 84 - 05
6.25066,-75.6053,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE44 # 84-45
6.25082,-75.6058,CAJERO ELECTRONICO CONAVI,CONAVI America 1,Cra. 86A #43-77
6.2509,-75.6055,Cajero Automático MEGARed,Megabanco  América,Cl 44 # 86-70
6.2513,-75.5636,CAJERO ELECTRONICO Granahorrar,Granahorrar AVENIDA ORIENTAL,CRA 46 # 54 - 24
6.25158,-75.5655,BANCOS Y CORPORACIONES,BANCO SANTANDER,CALLE53 # 49-02
6.25187,-75.566,BANCOS Y CORPORACIONES,BANCO DE BOGOTA,CALLE53 # 49-56
6.25205,-75.5648,BANCOS Y CORPORACIONES,BANCOLOMBIA,CALLE54 # 47-49
6.25277,-75.5988,CAJERO ELECTRONICO CONAVI,CONAVI Comfama America,Cr.79B # 45-90
6.25338,-75.5639,BANCOS Y CORPORACIONES,BANCO GANADERO,CALLE56 # 47-32
6.2537,-75.5723,Cajero ATH,AV VILLAS San Buenaventura,Cra. 56 C # 51-90
6.25443,-75.6196,BANCOS Y CORPORACIONES,DAVIVIENDA,CALLE40 # 101A-247
6.25461,-75.564,BANCOS Y CORPORACIONES,BANCOLOMBIA,CARRERA49 # 57-51
6.25484,-75.5565,CAJERO ELECTRONICO CONAVI,CONAVI Clinica El Rosario,Cra.41# 62-05
6.25548,-75.5827,BANCOS Y CORPORACIONES,BANCOLOMBIA,CARRERA66 # 49-01
6.2555,-75.5814,BANCO GANADERO,BANCO GANADERO Exito,Calle 49b No. 64c-61
6.25555,-75.5814,BANCOS Y CORPORACIONES,BANCO CAJA SOCIAL,CARRERA65 # 49B-20
6.25566,-75.5817,CAJERO ELECTRONICO Colpatria,Colpatria Medellín Exito,Calle 49b No. 65-36
