FECHA;PAÍS;REGIÓN;MUNICIPIO;"DEPARTAMENTO
NO TOCAR";VEREDA;VARIABLE;EVENTO;URL ;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-07;COLOMBIA;PACÍFICA;JAMUNDÍ;VALLE DEL CAUCA;LAS PIÑAS ;ATENTADO;Atentado con moto bomba en Jamundí dejó un muerto y 14 heridos, uno de gravedad;https://www.noticiasrcn.com/colombia/atentado-con-moto-bomba-en-las-pinas-jamundi-dejo-policias-heridos-783124#google_vignette;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-07;COLOMBIA;OCCIDENTE / EJE CAFETERO;CAUCASIA;ANTIOQUIA;N/A;ATAQUE;Dos heridos por ataque del ELN a buses que transportaban civiles en una vía de Antioquia;https://www.teleantioquia.co/noticias/dos-heridos-por-ataque-del-eln-a-buses-que-transportaban-civiles-en-una-via-de-antioquia/#google_vignette;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-07;COLOMBIA;PACÍFICA;BUENOS AIRES;CAUCA;N/A;FOSA COMÚN ;Las dos macabras fosas comunes con los niños asesinados con tiros de gracia por las disidencias de las Farc;https://www.semana.com/nacion/cali/articulo/la-salvaje-forma-en-que-las-disidencias-de-las-farc-estan-matando-a-ninos-en-el-cauca-hay-fosas-hasta-de-diez-cuerpos/202448/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-07;COLOMBIA;SANTANDERES;LOS PATIOS;NORTE DE SANTANDER;N/A;CAPTURA;Atención: Capturan a alias 'Bobby', cabecilla del Tren de Aragua chileno, en Norte de Santander;https://www.eltiempo.com/justicia/delitos/atencion-capturan-a-alias-bobby-cabecilla-del-tren-de-aragua-chileno-en-norte-de-santander-3407053;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-07;COLOMBIA;ANDINA;BOGOTA D.C.;BOGOTÁ;N/A;CORRUPCIÓN;Petro pidió a Fiscalía investigar a junta de Coosalud ante posible escándalo de corrupción;https://caracol.com.co/2024/12/07/petro-pidio-a-fiscalia-investigar-a-junta-de-coosalud-ante-posible-escandalo-de-corrupcion/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-08;COLOMBIA;ANDINA;NEIVA;HUILA;N/A;ARTEFACTO EXPLOSIVO;Explosión en restaurante de Neiva: lanzaron un artefacto contra restaurante en plena celebración de Día de las Velitas;Explosión en restaurante de Neiva: lanzaron un artefacto contra restaurante en plena celebración de Día de las Velitas - Infobae;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-08;COLOMBIA;OCCIDENTE / EJE CAFETERO;SANTAFÉ DE ANTIOQUIA;ANTIOQUIA;N/A;MONEDA FALSA;Autoridades incautaron 266.000 dólares falsos en la vía Santa Fe de Antioquia - Medellín;https://www.bluradio.com/regiones/antioquia/autoridades-incautaron-266-000-dolares-falsos-en-la-via-santa-fe-de-antioquia-medellin-rg10;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-08;COLOMBIA;SANTANDERES;TAME;ARAUCA;N/A;ATAQUE;Un policía asesinado y otro gravemente herido en ataque armado en Tame, Arauca;https://www.noticiasrcn.com/colombia/un-policia-asesinado-y-otro-herido-en-ataque-del-eln-en-tame-arauca-783309;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-09;COLOMBIA;OCCIDENTE / EJE CAFETERO;COPACABANA;ANTIOQUIA;N/A;CAPTURA; Oscar Camargo Ríos, alias Pichi, el llamado 'Pablo Escobar de Bucaramanga', fue recapturado por la Policía Metropolitana del Valle de Aburrá en conjunto con la Fiscalía, en una casa de Copacabana, municipio ubicado al norte de Medellín.;https://www.msn.com/es-co/noticias/other/video-as%C3%AD-fue-la-recaptura-de-alias-pichi-en-el-municipio-de-copacabana/ar-AA1vx466?ocid=BingNewsSerp;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-09;COLOMBIA;SANTANDERES;TEORAMA;NORTE DE SANTANDER;N/A;HOMICIDIO;Con francotirador fue asesinado comandante de la estación de Policía de Teorama;https://www.laopinion.co/judicial/con-francotirador-fue-asesinado-comandante-de-la-estacion-de-policia-de-teorama;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-10;COLOMBIA;ANDINA;HOBO;HUILA;N/A;ARTEFACTO EXPLOSIVO;Lanzan artefacto explosivo contra la sede de una Cooperativa de ahorro y crédito en el Municipio de Hobo;https://x.com/BluRadioCo/status/1866470874364404171;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-10;COLOMBIA;CARIBE;BARRANQUILLA;ATLÁNTICO;N/A;AMENAZAS;"Dos días antes de la reanudación de las audiencias preparatorias al juicio contra Nicolás Petro, hijo del presidente Gustavo Petro, el nuevo abogado de la defensa, Alejandro Carranza, recibió una llamada en la que le advertían que tenía que salir del país, justo antes de la diligencia en la ciudad de Barranquilla.
";"https://www.semana.com/nacion/articulo/tiene-hasta-el-lunes-para-salir-del-pais-hp-amenazaron-al-nuevo-abogado-de-nicolas-petro/202404/?s=08
";;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-10;COLOMBIA;CARIBE;SAN JUAN BETULIA;SUCRE;N/A;HOMICIDIO MULTIPLE;"Masacre en Sucre: tres personas de una misma familia fueron asesinadas en Betulia
";"https://www.elcolombiano.com/colombia/masacre-sucre-tres-personas-asesinadas-betulia-BH26031246
";;;;;;;;;;;;;;;;;;;;;;;;;
